#this is a comment
#and this is a comment
device,action,time,day of week,protocol,level
##Closet 
#Closet on
closet,On,6:19,Mon,Insteon,0
closet,On,6:19,Tue,Insteon,0
closet,On,6:19,Wed,Insteon,0
closet,On,6:19,Thu,Insteon,0
closet,On,6:19,Fri,Insteon,0
closet,On,7:19,Sat,Insteon,0
closet,On,7:19,Sun,Insteon,0
##Porch
#Porch off
X10Porch,Off,dawn,Sun,X10,0
X10Porch,Off,dawn,Mon,X10,0
X10Porch,Off,dawn,Tue,X10,0
X10Porch,Off,dawn,Wed,X10,0
X10Porch,Off,dawn,Thu,X10,0
X10Porch,Off,dawn,Fri,X10,0
X10Porch,Off,dawn,Sat,X10,0
#Porch on
X10Porch,On,dusk,Sun,X10,0
X10Porch,On,dusk,Mon,X10,0
X10Porch,On,dusk,Tue,X10,0
X10Porch,On,dusk,Wed,X10,0
X10Porch,On,dusk,Thu,X10,0
X10Porch,On,dusk,Fri,X10,0
X10Porch,On,dusk,Sat,X10,0

